Country Name,Country Code,Year,Ratio
Rwanda,RWA,2017,81.91943234
Samoa,WSM,2017,61.45254716
Sao Tome and Principe,STP,2017,92.49707862
Saudi Arabia,SAU,2017,25.06785502
Senegal,SEN,2017,62.37564489
Serbia,SRB,2017,74.36878471
Sierra Leone,SLE,2017,92.75821968
Singapore,SGP,2017,79.46238386
Slovak Republic,SVK,2017,77.78237607
Slovenia,SVN,2017,84.05790275
Solomon Islands,SLB,2017,95.59037181
Somalia,SOM,2017,44.29043878
South Africa,ZAF,2017,79.30752082
South Sudan,SSD,2017,91.95163764
Spain,ESP,2017,81.55017236
Sri Lanka,LKA,2017,49.05073183
St. Lucia,LCA,2017,84.72425444
St. Vincent and the Grenadines,VCT,2017,72.36082925
Sudan,SDN,2017,32.31217976
Suriname,SUR,2017,67.64029508
Sweden,SWE,2017,90.07759714
Switzerland,CHE,2017,84.11584793
Syrian Arab Republic,SYR,2017,20.43878992
Tajikistan,TJK,2017,61.52965422
Tanzania,TZA,2017,91.43730538
Thailand,THA,2017,77.90992268
Timor-Leste,TLS,2017,84.7510645
Togo,TGO,2017,92.27687367
Tonga,TON,2017,63.90951605
Trinidad and Tobago,TTO,2017,71.76361008
Tunisia,TUN,2017,38.18155599
Turkiye,TUR,2017,46.35086943
Turkmenistan,TKM,2017,103.8787054
Uganda,UGA,2017,92.43467623
Ukraine,UKR,2017,77.72955081
United Arab Emirates,ARE,2017,55.27324035
United Kingdom,GBR,2017,84.44155997
United States,USA,2017,82.07087244
Uruguay,URY,2017,76.88056283
Uzbekistan,UZB,2017,54.69062691
Vanuatu,VUT,2017,84.46881595
"Venezuela, RB",VEN,2017,62.25950211
Viet Nam,VNM,2017,88.29397667
Virgin Islands (U.S.),VIR,2017,83.7442767
West Bank and Gaza,PSE,2017,24.77663857
"Yemen, Rep.",YEM,2017,8.599781347
Zambia,ZMB,2017,79.57714181
Zimbabwe,ZWE,2017,83.39159877
Afghanistan,AFG,2018,27.7516252
Albania,ALB,2018,76.11904938
Algeria,DZA,2018,21.52035354
Angola,AGO,2018,94.46795335
Argentina,ARG,2018,69.74427383
Armenia,ARM,2018,80.6632778
Australia,AUS,2018,85.15490897
Austria,AUT,2018,83.11988243
Azerbaijan,AZE,2018,91.49744339
"Bahamas, The",BHS,2018,84.28080981
Bahrain,BHR,2018,49.7238584
Bangladesh,BGD,2018,46.91843273
Barbados,BRB,2018,87.67111592
Belarus,BLR,2018,80.68909922
Belgium,BEL,2018,82.95205212
Belize,BLZ,2018,65.4599201
Benin,BEN,2018,97.46154659
Bhutan,BTN,2018,79.09580847
Bolivia,BOL,2018,79.44676383
Bosnia and Herzegovina,BIH,2018,63.06373463
Botswana,BWA,2018,83.70686019
Brazil,BRA,2018,72.89031931
Brunei Darussalam,BRN,2018,77.97922211
Bulgaria,BGR,2018,79.36956276
Burkina Faso,BFA,2018,77.58061737
Burundi,BDI,2018,102.6890225
Cabo Verde,CPV,2018,77.95164497
Cambodia,KHM,2018,87.87795618
Cameroon,CMR,2018,81.2852565
Canada,CAN,2018,86.78785981
Central African Republic,CAF,2018,79.5821727
Chad,TCD,2018,67.72369303
Channel Islands,CHI,2018,78.50535209
Chile,CHL,2018,70.6043993
China,CHN,2018,83.20442437
Colombia,COL,2018,68.48190974
Comoros,COM,2018,64.79334287
"Congo, Dem. Rep.",COD,2018,89.71781432
"Congo, Rep.",COG,2018,95.23339343
Costa Rica,CRI,2018,63.79332949
Cote d'Ivoire,CIV,2018,77.30388423
Croatia,HRV,2018,78.61230453
Cuba,CUB,2018,65.1155448
Cyprus,CYP,2018,83.89071007
Czechia,CZE,2018,76.68033205
Denmark,DNK,2018,87.006852
Djibouti,DJI,2018,39.5329243
Dominican Republic,DOM,2018,64.79441288
Ecuador,ECU,2018,68.91008209
"Egypt, Arab Rep.",EGY,2018,27.06615518
El Salvador,SLV,2018,60.00801389
Equatorial Guinea,GNQ,2018,79.8000623
Eritrea,ERI,2018,85.60735747
Estonia,EST,2018,81.01636423
Eswatini,SWZ,2018,86.36923192
Ethiopia,ETH,2018,77.65895463
Fiji,FJI,2018,50.29122917
Finland,FIN,2018,88.28154724
France,FRA,2018,84.39996678
French Polynesia,PYF,2018,78.88028762
Gabon,GAB,2018,69.64606779
"Gambia, The",GMB,2018,88.22317293
Georgia,GEO,2018,75.50354206
Germany,DEU,2018,82.74533901
Ghana,GHA,2018,91.41136836
Greece,GRC,2018,73.67670284
Guam,GUM,2018,82.15756125
Guatemala,GTM,2018,46.04226855
Guinea,GIN,2018,67.48743251
Guinea-Bissau,GNB,2018,80.75342564
Guyana,GUY,2018,64.21733775
Haiti,HTI,2018,89.10272933
Honduras,HND,2018,60.60011791
"Hong Kong SAR, China",HKG,2018,80.54938426
Hungary,HUN,2018,78.28535005
Iceland,ISL,2018,89.39475361
India,IND,2018,34.5333368
Indonesia,IDN,2018,64.59617512
"Iran, Islamic Rep.",IRN,2018,24.55710543
Iraq,IRQ,2018,15.5396432
Ireland,IRL,2018,81.73723928
Israel,ISR,2018,86.69458809
Italy,ITA,2018,68.94771585
Jamaica,JAM,2018,79.9914945
Japan,JPN,2018,73.67058691
Jordan,JOR,2018,23.82842364
Kazakhstan,KAZ,2018,87.19414502
Kenya,KEN,2018,88.35635749
"Korea, Dem. People's Rep.",PRK,2018,89.56980941
"Korea, Rep.",KOR,2018,73.55546649
Kuwait,KWT,2018,56.5581374
Kyrgyz Republic,KGZ,2018,67.76583004
Lao PDR,LAO,2018,87.93488817
Latvia,LVA,2018,81.45670156
Lebanon,LBN,2018,40.69526437
Lesotho,LSO,2018,73.64787785
Liberia,LBR,2018,87.96149241
Libya,LBY,2018,53.08168452
Lithuania,LTU,2018,83.54505257
Luxembourg,LUX,2018,86.18023867
"Macao SAR, China",MAC,2018,85.7621308
Madagascar,MDG,2018,94.23087849
Malawi,MWI,2018,88.32941438
Malaysia,MYS,2018,66.14176255
Maldives,MDV,2018,54.97676792
Mali,MLI,2018,72.21924233
Malta,MLT,2018,69.69766344
Mauritania,MRT,2018,45.67492729
Mauritius,MUS,2018,62.62393233
Mexico,MEX,2018,56.46261114
Moldova,MDA,2018,97.93134971
Mongolia,MNG,2018,75.9974137
Montenegro,MNE,2018,72.83972348
Morocco,MAR,2018,32.0371227
Mozambique,MOZ,2018,97.88706831
Myanmar,MMR,2018,63.21057577
Namibia,NAM,2018,88.39187399
Nepal,NPL,2018,51.32835433
Netherlands,NLD,2018,85.22047233
New Caledonia,NCL,2018,85.40773206
New Zealand,NZL,2018,85.84647379
Nicaragua,NIC,2018,59.10158899
Niger,NER,2018,71.61326787
Nigeria,NGA,2018,90.1121913
North Macedonia,MKD,2018,63.42209179
Norway,NOR,2018,91.2056633
Oman,OMN,2018,34.35553697
Pakistan,PAK,2018,27.20714358
Panama,PAN,2018,67.43086916
Papua New Guinea,PNG,2018,95.77170698
Paraguay,PRY,2018,70.42695937
Peru,PER,2018,82.51331908
Philippines,PHL,2018,62.62567911
Poland,POL,2018,75.07099792
Portugal,PRT,2018,84.57753278
Puerto Rico,PRI,2018,65.15148469
Qatar,QAT,2018,61.0126794
Romania,ROU,2018,69.98732202
Russian Federation,RUS,2018,78.16918284
Rwanda,RWA,2018,80.53985723
Samoa,WSM,2018,60.5401592
Sao Tome and Principe,STP,2018,94.17697742
Saudi Arabia,SAU,2018,27.43707727
Senegal,SEN,2018,60.05484612
Serbia,SRB,2018,74.25867811
Sierra Leone,SLE,2018,91.05463561
Singapore,SGP,2018,80.33273524
Slovak Republic,SVK,2018,77.14264619
Slovenia,SVN,2018,83.58201988
Solomon Islands,SLB,2018,95.52868686
Somalia,SOM,2018,44.50454257
South Africa,ZAF,2018,79.21329368
South Sudan,SSD,2018,92.12153284
Spain,ESP,2018,81.43426795
Sri Lanka,LKA,2018,45.907118
St. Lucia,LCA,2018,84.02320167
St. Vincent and the Grenadines,VCT,2018,73.01311088
Sudan,SDN,2018,30.97370069
Suriname,SUR,2018,68.59118254
Sweden,SWE,2018,90.41991265
Switzerland,CHE,2018,84.79281898
Syrian Arab Republic,SYR,2018,20.80463592
Tajikistan,TJK,2018,61.29989784
Tanzania,TZA,2018,91.56275692
Thailand,THA,2018,77.84050074
Timor-Leste,TLS,2018,84.77668995
Togo,TGO,2018,92.58921162
Tonga,TON,2018,64.00949491
Trinidad and Tobago,TTO,2018,72.01795609
Tunisia,TUN,2018,38.71537842
Turkiye,TUR,2018,47.03376394
Turkmenistan,TKM,2018,104.0922571
Uganda,UGA,2018,91.54689056
Ukraine,UKR,2018,76.85786156
United Arab Emirates,ARE,2018,55.44545897
United Kingdom,GBR,2018,84.61674268
United States,USA,2018,82.18147421
Uruguay,URY,2018,77.5878087
Uzbekistan,UZB,2018,54.33477213
Vanuatu,VUT,2018,84.88584404
"Venezuela, RB",VEN,2018,62.15251353
Viet Nam,VNM,2018,88.45985827
Virgin Islands (U.S.),VIR,2018,84.34592684
West Bank and Gaza,PSE,2018,25.1645346
"Yemen, Rep.",YEM,2018,8.506404468
Zambia,ZMB,2018,80.16110932
Zimbabwe,ZWE,2018,83.89631228
Afghanistan,AFG,2019,26.37539987
Albania,ALB,2019,77.83365684
Algeria,DZA,2019,21.33062987
Angola,AGO,2019,94.59406916
Argentina,ARG,2019,70.44138572
Armenia,ARM,2019,82.83344792
Australia,AUS,2019,85.58291683
Austria,AUT,2019,83.42450108
Azerbaijan,AZE,2019,91.43597856
"Bahamas, The",BHS,2019,84.07278134
Bahrain,BHR,2019,49.32783467
Bangladesh,BGD,2019,48.62074927
Barbados,BRB,2019,89.72326256
Belarus,BLR,2019,81.63065108
Belgium,BEL,2019,83.34521627
Belize,BLZ,2019,69.38088584
Benin,BEN,2019,97.95329344
Bhutan,BTN,2019,85.15350692
Bolivia,BOL,2019,80.73786976
Bosnia and Herzegovina,BIH,2019,63.1507632
Botswana,BWA,2019,84.1229583
Brazil,BRA,2019,73.82303082
